candidate_term,candidate_token,neighbor_count,seed_count,seed_terms,concept_groups,query_statuses,best_rank,max_similarity,mean_similarity,review_decision,include_v2,review_notes
eternalblue,eternalblue,9,1,AI analyst,ai_applications,exact_key,7,0.674847,0.674847,,,
voice-assist,voice-assist,8,1,AI integration,ai_activity,exact_key,5,0.673728,0.673728,,,
cross-skill,cross-skill,19,1,AI skills,ai_workforce,exact_key,30,0.673350,0.673350,,,
tensorflow,tensorflow,342,1,neural network,core_ai,exact_key,28,0.672941,0.672941,,,
taskflow,taskflow,5,1,AI skills,ai_workforce,exact_key,31,0.672843,0.672843,,,
pretrain,pretrain,12,1,AI model,ai_technology,exact_key,30,0.672725,0.672725,,,
bluefield dpus,bluefield_dpus,17,1,AI applications,ai_technology,exact_key,49,0.672725,0.672725,,,
gpu-based,gpu-based,128,1,AI applications,ai_technology,exact_key,50,0.672705,0.672705,,,
rpa bots,rpa_bots,49,1,robotic process automation,automation_robotics,exact_key,23,0.672682,0.672682,,,
speechsquad,speechsquad,5,1,AI analyst,ai_applications,exact_key,8,0.672445,0.672445,,,
decisioning,decisioning,4231,1,automated underwriting,ai_applications,exact_key,1,0.672305,0.672305,,,
vui,vui,21,1,AI integration,ai_activity,exact_key,6,0.671940,0.671940,,,
neurodecision,neurodecision,5,1,artificial intelligence technology,core_ai,exact_key,32,0.671416,0.671416,,,
copy-pasting,copy-pasting,6,1,AI analyst,ai_applications,exact_key,9,0.671152,0.671152,,,
misconfigure,misconfigure,8,1,AI analyst,ai_applications,exact_key,10,0.670755,0.670755,,,
stla smartcockpit,stla_smartcockpit,16,1,AI integration,ai_activity,exact_key,8,0.669980,0.669980,,,
tcs cognix,tcs_cognix,14,1,AI skills,ai_workforce,exact_key,36,0.669872,0.669872,,,
self-learning,self-learning,337,1,reinforcement learning,ai_methods,exact_key,23,0.669642,0.669642,,,
einstein gpt,einstein_gpt,30,1,AI skills,ai_workforce,exact_key,37,0.669362,0.669362,,,
nm500,nm500,34,1,neural network,core_ai,exact_key,33,0.669184,0.669184,,,
microbots,microbots,18,1,robotic process automation,automation_robotics,exact_key,26,0.669127,0.669127,,,
micro-expression,micro-expression,12,1,image recognition,ai_methods,exact_key,25,0.668769,0.668769,,,
levelsets,levelsets,9,1,AI skills,ai_workforce,exact_key,39,0.668290,0.668290,,,
storyfit,storyfit,11,1,artificial intelligence technology,core_ai,exact_key,38,0.668245,0.668245,,,
skills-first,skills-first,8,1,AI skills,ai_workforce,exact_key,40,0.667556,0.667556,,,
alphazero,alphazero,6,1,AI analyst,ai_applications,exact_key,11,0.667501,0.667501,,,
servicenext,servicenext,5,1,artificial intelligence technologies,core_ai,exact_key,38,0.667404,0.667404,,,
megamolbart,megamolbart,7,1,GPT-3,gen_ai,exact_key,34,0.666952,0.666952,,,
oversharing,oversharing,21,1,AI analyst,ai_applications,exact_key,12,0.665862,0.665862,,,
nextlabs,nextlabs,7,1,AI skills,ai_workforce,exact_key,44,0.665684,0.665684,,,
post-exploitation,post-exploitation,11,1,AI analyst,ai_applications,exact_key,13,0.665683,0.665683,,,
dexus,dexus,1272,1,GPT,gen_ai,exact_key,1,0.665599,0.665599,,,
cobots,cobots,364,1,robotics,automation_robotics,exact_key,12,0.665443,0.665443,,,
deepmind's,deepmind's,12,1,artificial intelligence technology,core_ai,exact_key,41,0.665396,0.665396,,,
midjourney,midjourney,36,1,ChatGPT,gen_ai,exact_key,43,0.664905,0.664905,,,
in-platform audit,in-platform_audit,17,1,AI skills,ai_workforce,exact_key,46,0.664774,0.664774,,,
turla,turla,15,1,AI analyst,ai_applications,exact_key,14,0.664719,0.664719,,,
dnabert,dnabert,7,1,AI analyst,ai_applications,exact_key,15,0.664382,0.664382,,,
lstm,lstm,5,1,neural network,core_ai,exact_key,38,0.664240,0.664240,,,
computer vision-based,computer_vision-based,22,1,image recognition,ai_methods,exact_key,26,0.664045,0.664045,,,
futurefit,futurefit,10,1,AI skills,ai_workforce,exact_key,48,0.663774,0.663774,,,
watsonx orchestrate,watsonx_orchestrate,11,1,robotic process automation,automation_robotics,exact_key,29,0.663598,0.663598,,,
tensorrt,tensorrt,177,1,neural network,core_ai,exact_key,40,0.663380,0.663380,,,
akida,akida,304,1,neural network,core_ai,exact_key,41,0.663266,0.663266,,,
privacy-enhancing,privacy-enhancing,11,1,artificial intelligence technologies,core_ai,exact_key,42,0.662666,0.662666,,,
benefitsaige,benefitsaige,20,1,artificial intelligence technology,core_ai,exact_key,42,0.662558,0.662558,,,
cdnn,cdnn,13,1,neural network,core_ai,exact_key,44,0.662133,0.662133,,,
salesforce einstein,salesforce_einstein,73,1,ChatGPT,gen_ai,exact_key,44,0.662132,0.662132,,,
fin7,fin7,10,1,AI analyst,ai_applications,exact_key,16,0.661380,0.661380,,,
brewright,brewright,5,1,artificial intelligence technologies,core_ai,exact_key,46,0.660541,0.660541,,,
onesykes,onesykes,5,1,artificial intelligence technologies,core_ai,exact_key,47,0.660489,0.660489,,,
google cloud's,google_cloud's,72,1,AI solutions,ai_activity,exact_key,40,0.660472,0.660472,,,
manual tasks,manual_tasks,324,1,robotic process automation,automation_robotics,exact_key,32,0.660420,0.660420,,,
scibids ai,scibids_ai,27,1,artificial intelligence technologies,core_ai,exact_key,48,0.659971,0.659971,,,
pre-trained,pre-trained,69,1,AI model,ai_technology,exact_key,43,0.659772,0.659772,,,
minimally invasive surgery,minimally_invasive_surgery,1272,1,robotics,automation_robotics,exact_key,13,0.659592,0.659592,,,
int8,int8,34,1,neural network,core_ai,exact_key,46,0.659438,0.659438,,,
ml-enabled,ml-enabled,10,1,AI integration,ai_activity,exact_key,15,0.659358,0.659358,,,
appway,appway,5,1,AI analyst,ai_applications,exact_key,17,0.659284,0.659284,,,
privacy-preserving,privacy-preserving,29,1,artificial intelligence technologies,core_ai,exact_key,49,0.659068,0.659068,,,
soundhound chat ai,soundhound_chat_ai,16,1,AI integration,ai_activity,exact_key,17,0.658644,0.658644,,,
molmim,molmim,7,1,AI model,ai_technology,exact_key,44,0.658505,0.658505,,,
google's tensorflow,google's_tensorflow,18,1,AI integration,ai_activity,exact_key,19,0.658198,0.658198,,,
hyperclova x,hyperclova_x,21,1,Generative AI technology,gen_ai,exact_key,34,0.658085,0.658085,,,
openfold,openfold,6,1,GPT-3,gen_ai,exact_key,43,0.657698,0.657698,,,
genai-powered,genai-powered,14,1,AI integration,ai_activity,exact_key,21,0.657460,0.657460,,,
rock-to-dock,rock-to-dock,8,1,robotic process automation,automation_robotics,exact_key,33,0.657316,0.657316,,,
ratestar,ratestar,108,1,automated underwriting,ai_applications,exact_key,3,0.656974,0.656974,,,
custom-trained,custom-trained,6,1,AI model,ai_technology,exact_key,48,0.656673,0.656673,,,
sagemaker,sagemaker,91,1,GPT-3,gen_ai,exact_key,44,0.656472,0.656472,,,
honeypots,honeypots,13,1,AI analyst,ai_applications,exact_key,19,0.656391,0.656391,,,
ui-driven,ui-driven,6,1,AI analyst,ai_applications,exact_key,20,0.655602,0.655602,,,
zero-day vulnerabilities,zero-day_vulnerabilities,16,1,AI analyst,ai_applications,exact_key,21,0.655414,0.655414,,,
drive360,drive360,7,1,AI integration,ai_activity,exact_key,27,0.654869,0.654869,,,
hugging face,hugging_face,90,1,GPT-3,gen_ai,exact_key,47,0.654686,0.654686,,,
autonomous vehicles,autonomous_vehicles,3675,1,robotics,automation_robotics,exact_key,14,0.654519,0.654519,,,
nvidia clara,nvidia_clara,35,1,artificial intelligence technology,core_ai,exact_key,50,0.654360,0.654360,,,
analytics et cetera,analytics_et_cetera,222,1,robotic process automation,automation_robotics,exact_key,36,0.654148,0.654148,,,
forensicators,forensicators,5,1,AI analyst,ai_applications,exact_key,22,0.653475,0.653475,,,
obediently,obediently,5,1,AI analyst,ai_applications,exact_key,23,0.653299,0.653299,,,
semicolons,semicolons,6,1,AI analyst,ai_applications,exact_key,24,0.653214,0.653214,,,
infra8,infra8,6,1,AI analyst,ai_applications,exact_key,25,0.652450,0.652450,,,
ernie bot,ernie_bot,163,1,Generative AI technology,gen_ai,exact_key,40,0.652308,0.652308,,,
gosu,gosu,5,1,AI analyst,ai_applications,exact_key,26,0.652011,0.652011,,,
fin12,fin12,6,1,AI analyst,ai_applications,exact_key,27,0.651844,0.651844,,,
xtrakto,xtrakto,5,1,NLP,ai_methods,exact_key,7,0.651671,0.651671,,,
zero-shot,zero-shot,25,1,reinforcement learning,ai_methods,exact_key,41,0.651459,0.651459,,,
overexaggerating,overexaggerating,7,1,AI analyst,ai_applications,exact_key,28,0.650944,0.650944,,,
ai-led,ai-led,109,1,generative artificial intelligence,gen_ai,exact_key,30,0.650256,0.650256,,,
text-to-voice,text-to-voice,6,1,image recognition,ai_methods,exact_key,35,0.650173,0.650173,,,
vehicle-to-everything,vehicle-to-everything,22,1,AI integration,ai_activity,exact_key,32,0.650098,0.650098,,,
ai-first,ai-first,167,1,Generative AI technology,gen_ai,exact_key,43,0.649866,0.649866,,,
trucontext,trucontext,6,1,AI analyst,ai_applications,exact_key,29,0.649673,0.649673,,,
wiseeye2,wiseeye2,7,1,AI application,ai_technology,exact_key,33,0.649606,0.649606,,,
chatgpt-style,chatgpt-style,9,1,Generative AI technology,gen_ai,exact_key,44,0.649595,0.649595,,,
phishes,phishes,7,1,AI analyst,ai_applications,exact_key,30,0.649326,0.649326,,,
right-brained,right-brained,6,1,AI analyst,ai_applications,exact_key,31,0.649256,0.649256,,,
cxaas,cxaas,5,1,AI implementation,ai_activity,exact_key,2,0.649225,0.649225,,,
cloud-to-car,cloud-to-car,6,1,AI integration,ai_activity,exact_key,34,0.649199,0.649199,,,
zoomdata,zoomdata,7,1,AI analyst,ai_applications,exact_key,32,0.648996,0.648996,,,
blitzscaling,blitzscaling,5,1,AI analyst,ai_applications,exact_key,33,0.648866,0.648866,,,
veritone's aiware,veritone's_aiware,13,1,AI solutions,ai_activity,exact_key,48,0.648823,0.648823,,,
untechnical,untechnical,9,1,AI analyst,ai_applications,exact_key,34,0.648717,0.648717,,,
vishing,vishing,17,1,AI analyst,ai_applications,exact_key,35,0.648669,0.648669,,,
steganography,steganography,10,1,AI analyst,ai_applications,exact_key,36,0.648552,0.648552,,,
lidar-centric,lidar-centric,6,1,AI analyst,ai_applications,exact_key,37,0.648343,0.648343,,,
livespread,livespread,5,1,robotic process automation,automation_robotics,exact_key,39,0.647989,0.647989,,,
augmented intelligence,augmented_intelligence,244,1,robotics,automation_robotics,exact_key,15,0.647933,0.647933,,,
esperanto,esperanto,9,1,AI application,ai_technology,exact_key,35,0.647673,0.647673,,,
quantopian,quantopian,6,1,AI tool,ai_technology,exact_key,15,0.647539,0.647539,,,
manual processes,manual_processes,2352,1,robotic process automation,automation_robotics,exact_key,41,0.647067,0.647067,,,
carecloud conductor,carecloud_conductor,12,1,AI integration,ai_activity,exact_key,41,0.646899,0.646899,,,
well-formatted,well-formatted,5,1,AI analyst,ai_applications,exact_key,38,0.646257,0.646257,,,
tensorflow lite,tensorflow_lite,18,1,AI application,ai_technology,exact_key,38,0.646007,0.646007,,,
halodi robotics,halodi_robotics,16,1,robotics,automation_robotics,exact_key,16,0.645563,0.645563,,,
claim-specific,claim-specific,9,1,AI analyst,ai_applications,exact_key,39,0.645354,0.645354,,,
sightlife,sightlife,5,1,AI analyst,ai_applications,exact_key,40,0.645275,0.645275,,,
text-to-video,text-to-video,7,1,reinforcement learning,ai_methods,exact_key,46,0.645266,0.645266,,,
senspro,senspro,5,1,AI application,ai_technology,exact_key,39,0.645060,0.645060,,,
image-based,image-based,242,1,image recognition,ai_methods,exact_key,39,0.645022,0.645022,,,
orbix,orbix,5,1,AI analyst,ai_applications,exact_key,41,0.644884,0.644884,,,
merivis,merivis,5,1,AI analyst,ai_applications,exact_key,42,0.644829,0.644829,,,
co-pilots,co-pilots,54,1,Generative AI tools,gen_ai,exact_key,48,0.644808,0.644808,,,
ai-capable,ai-capable,18,1,AI application,ai_technology,exact_key,40,0.644806,0.644806,,,
tool,tool,153267,1,AI tool,ai_technology,exact_key,21,0.644362,0.644362,,,
ai-augmented,ai-augmented,7,1,AI implementation,ai_activity,exact_key,3,0.644230,0.644230,,,
metadata,metadata,3588,1,image recognition,ai_methods,exact_key,40,0.644137,0.644137,,,
cspm ciem,cspm_ciem,13,1,AI analyst,ai_applications,exact_key,43,0.643948,0.643948,,,
dspm,dspm,11,1,AI analyst,ai_applications,exact_key,44,0.643939,0.643939,,,
headset-based,headset-based,5,1,AI integration,ai_activity,exact_key,44,0.643746,0.643746,,,
human-computer interaction,human-computer_interaction,23,1,image recognition,ai_methods,exact_key,43,0.643481,0.643481,,,
reconciler,reconciler,11,1,AI analyst,ai_applications,exact_key,45,0.643327,0.643327,,,
stockfish,stockfish,5,1,AI analyst,ai_applications,exact_key,46,0.643085,0.643085,,,
object-relational,object-relational,6,1,AI analyst,ai_applications,exact_key,47,0.642921,0.642921,,,
avigilon's,avigilon's,9,1,AI integration,ai_activity,exact_key,46,0.642884,0.642884,,,
symboling,symboling,6,1,AI analyst,ai_applications,exact_key,48,0.642373,0.642373,,,
fandangled,fandangled,6,1,AI analyst,ai_applications,exact_key,49,0.642202,0.642202,,,
human-like,human-like,174,1,reinforcement learning,ai_methods,exact_key,50,0.642144,0.642144,,,
frankensystem,frankensystem,15,1,AI analyst,ai_applications,exact_key,50,0.642089,0.642089,,,
pindrop,pindrop,14,1,AI integration,ai_activity,exact_key,48,0.641920,0.641920,,,
robotic's,robotic's,8,1,robotics,automation_robotics,exact_key,17,0.641783,0.641783,,,
idasl,idasl,20,1,automated underwriting,ai_applications,exact_key,4,0.641737,0.641737,,,
onnx,onnx,20,1,AI application,ai_technology,exact_key,44,0.641650,0.641650,,,
vision-guided,vision-guided,19,1,robotics,automation_robotics,exact_key,18,0.641467,0.641467,,,
moovit's,moovit's,10,1,AI integration,ai_activity,exact_key,50,0.641185,0.641185,,,
photo-editing,photo-editing,7,1,image recognition,ai_methods,exact_key,47,0.640225,0.640225,,,
robotic arms,robotic_arms,210,1,robotics,automation_robotics,exact_key,19,0.639963,0.639963,,,
ai-generated,ai-generated,169,1,AI tool,ai_technology,exact_key,30,0.638918,0.638918,,,
trng,trng,7,1,AI application,ai_technology,exact_key,46,0.638578,0.638578,,,
ego-motion,ego-motion,5,1,image recognition,ai_methods,exact_key,50,0.637528,0.637528,,,
contentnav,contentnav,13,1,AI tool,ai_technology,exact_key,32,0.637484,0.637484,,,
click-to-renew,click-to-renew,9,1,robotic process automation,automation_robotics,exact_key,47,0.637444,0.637444,,,
tripgenie,tripgenie,6,1,AI tool,ai_technology,exact_key,33,0.636959,0.636959,,,
nvidia cuda,nvidia_cuda,18,1,AI application,ai_technology,exact_key,50,0.636138,0.636138,,,
end-of-arm tooling,end-of-arm_tooling,35,1,robotics,automation_robotics,exact_key,20,0.635852,0.635852,,,
blue prism,blue_prism,533,1,robotic process automation,automation_robotics,exact_key,49,0.635528,0.635528,,,
qurious,qurious,7,1,AI tool,ai_technology,exact_key,36,0.634938,0.634938,,,
journey-centric,journey-centric,12,1,robotic process automation,automation_robotics,exact_key,50,0.634514,0.634514,,,
hunyuan,hunyuan,24,1,GPT-4,gen_ai,exact_key,41,0.633283,0.633283,,,
post-pc era,post-pc_era,46,1,AI adoption,ai_activity,exact_key,3,0.631645,0.631645,,,
robotic arm,robotic_arm,372,1,robotics,automation_robotics,exact_key,21,0.629614,0.629614,,,
tao toolkit,tao_toolkit,14,1,AI tool,ai_technology,exact_key,42,0.628367,0.628367,,,
information-led,information-led,9,1,AI implementation,ai_activity,exact_key,5,0.628273,0.628273,,,
ct-free,ct-free,13,1,robotics,automation_robotics,exact_key,22,0.627534,0.627534,,,
compute-intensive workloads,compute-intensive_workloads,17,1,AI adoption,ai_activity,exact_key,4,0.627114,0.627114,,,
exponentialize,exponentialize,5,1,AI implementation,ai_activity,exact_key,6,0.626692,0.626692,,,
next-best action,next-best_action,54,1,AI tool,ai_technology,exact_key,47,0.626309,0.626309,,,
nlq,nlq,6,1,NLP,ai_methods,exact_key,19,0.625436,0.625436,,,
motion-controlled,motion-controlled,11,1,robotics,automation_robotics,exact_key,24,0.624001,0.624001,,,
ondeck score,ondeck_score,134,1,automated underwriting,ai_applications,exact_key,5,0.623018,0.623018,,,
robotic-enabled,robotic-enabled,6,1,robotics,automation_robotics,exact_key,26,0.622950,0.622950,,,
dfvision,dfvision,7,1,robotics,automation_robotics,exact_key,28,0.622276,0.622276,,,
subrata karmakar,subrata_karmakar,16,1,robotics,automation_robotics,exact_key,29,0.620138,0.620138,,,
cybersecurists,cybersecurists,6,1,AI implementation,ai_activity,exact_key,7,0.620132,0.620132,,,
vecna,vecna,7,1,robotics,automation_robotics,exact_key,30,0.620071,0.620071,,,
visotech's,visotech's,7,1,NLP,ai_methods,exact_key,26,0.620001,0.620001,,,
devsecop,devsecop,10,1,AI implementation,ai_activity,exact_key,8,0.619836,0.619836,,,
mfdm,mfdm,10,1,AI implementation,ai_activity,exact_key,9,0.619521,0.619521,,,
instrumentation,instrumentation,19037,1,robotics,automation_robotics,exact_key,31,0.618949,0.618949,,,
chatgpt-type,chatgpt-type,6,1,AI implementation,ai_activity,exact_key,10,0.617802,0.617802,,,
cobotics,cobotics,20,1,robotics,automation_robotics,exact_key,32,0.617727,0.617727,,,
glasses-based,glasses-based,11,1,robotics,automation_robotics,exact_key,33,0.617417,0.617417,,,
writepro,writepro,99,1,automated underwriting,ai_applications,exact_key,6,0.612479,0.612479,,,
agvs,agvs,204,1,robotics,automation_robotics,exact_key,35,0.612420,0.612420,,,
noops,noops,7,1,AI implementation,ai_activity,exact_key,14,0.612158,0.612158,,,
deciphers,deciphers,9,1,NLP,ai_methods,exact_key,30,0.611734,0.611734,,,
wipro fullstride,wipro_fullstride,13,1,AI implementation,ai_activity,exact_key,16,0.611402,0.611402,,,
f2b,f2b,5,1,AI implementation,ai_activity,exact_key,17,0.610690,0.610690,,,
computer-assisted surgery,computer-assisted_surgery,69,1,robotics,automation_robotics,exact_key,36,0.610153,0.610153,,,
digital-enablement,digital-enablement,5,1,AI implementation,ai_activity,exact_key,18,0.609648,0.609648,,,
front2back,front2back,12,1,AI implementation,ai_activity,exact_key,19,0.609600,0.609600,,,
co-bot,co-bot,8,1,robotics,automation_robotics,exact_key,38,0.608929,0.608929,,,
stealthstation s8,stealthstation_s8,16,1,robotics,automation_robotics,exact_key,39,0.607693,0.607693,,,
automation-first,automation-first,9,1,AI implementation,ai_activity,exact_key,23,0.606153,0.606153,,,
goods-to-person,goods-to-person,60,1,robotics,automation_robotics,exact_key,41,0.605452,0.605452,,,
intuition-based,intuition-based,9,1,AI implementation,ai_activity,exact_key,24,0.605182,0.605182,,,
summarization,summarization,370,1,NLP,ai_methods,exact_key,37,0.605179,0.605179,,,
fullstride cloud,fullstride_cloud,5,1,AI implementation,ai_activity,exact_key,25,0.605098,0.605098,,,
workflow-type,workflow-type,11,1,AI implementation,ai_activity,exact_key,27,0.603003,0.603003,,,
indusuite,indusuite,10,1,robotics,automation_robotics,exact_key,42,0.602837,0.602837,,,
cyberphysical,cyberphysical,10,1,robotics,automation_robotics,exact_key,43,0.602123,0.602123,,,
experience-as-a-service,experience-as-a-service,6,1,AI implementation,ai_activity,exact_key,28,0.601558,0.601558,,,
intraoperative imaging,intraoperative_imaging,54,1,robotics,automation_robotics,exact_key,44,0.601358,0.601358,,,
cuptimize,cuptimize,6,1,robotics,automation_robotics,exact_key,45,0.601141,0.601141,,,
unify360,unify360,8,1,AI implementation,ai_activity,exact_key,29,0.600785,0.600785,,,
essentedge,essentedge,70,1,automated underwriting,ai_applications,exact_key,7,0.600570,0.600570,,,
software-as-a-product,software-as-a-product,5,1,AI implementation,ai_activity,exact_key,30,0.600530,0.600530,,,
cardioinsight,cardioinsight,5,1,robotics,automation_robotics,exact_key,46,0.599273,0.599273,,,
business-process-as-a-service,business-process-as-a-service,11,1,AI implementation,ai_activity,exact_key,32,0.598147,0.598147,,,
human-center,human-center,5,1,AI implementation,ai_activity,exact_key,33,0.596992,0.596992,,,
end-of-arm,end-of-arm,8,1,robotics,automation_robotics,exact_key,48,0.596817,0.596817,,,
autonomous,autonomous,34828,1,robotics,automation_robotics,exact_key,49,0.596257,0.596257,,,
medallia speech,medallia_speech,25,1,NLP,ai_methods,exact_key,47,0.596184,0.596184,,,
fluidtrend,fluidtrend,5,1,AI implementation,ai_activity,exact_key,34,0.596021,0.596021,,,
isaas,isaas,20,1,AI implementation,ai_activity,exact_key,35,0.595579,0.595579,,,
serverization,serverization,16,1,AI implementation,ai_activity,exact_key,36,0.595512,0.595512,,,
omnisearch,omnisearch,35,1,NLP,ai_methods,exact_key,49,0.595078,0.595078,,,
messaging-only,messaging-only,7,1,AI implementation,ai_activity,exact_key,37,0.594262,0.594262,,,
biosimulytics,biosimulytics,7,1,AI implementation,ai_activity,exact_key,39,0.592931,0.592931,,,
datafication,datafication,35,1,AI adoption,ai_activity,exact_key,10,0.591967,0.591967,,,
devops et cetera,devops_et_cetera,13,1,AI implementation,ai_activity,exact_key,42,0.591763,0.591763,,,
transformation et cetera,transformation_et_cetera,56,1,AI implementation,ai_activity,exact_key,43,0.591746,0.591746,,,
bimify,bimify,7,1,AI implementation,ai_activity,exact_key,44,0.591660,0.591660,,,
intellicyient,intellicyient,6,1,AI implementation,ai_activity,exact_key,45,0.591435,0.591435,,,
multivariate,multivariate,411,1,automated underwriting,ai_applications,exact_key,8,0.591385,0.591385,,,
product-enabled,product-enabled,11,1,AI implementation,ai_activity,exact_key,46,0.591312,0.591312,,,
public-cloud,public-cloud,16,1,AI adoption,ai_activity,exact_key,11,0.591159,0.591159,,,
autoscale,autoscale,6,1,AI implementation,ai_activity,exact_key,47,0.590839,0.590839,,,
erp-led,erp-led,13,1,AI implementation,ai_activity,exact_key,48,0.589975,0.589975,,,
mindware,mindware,5,1,AI implementation,ai_activity,exact_key,49,0.589925,0.589925,,,
nwdaf,nwdaf,8,1,AI implementation,ai_activity,exact_key,50,0.589246,0.589246,,,
multivariate predictive,multivariate_predictive,31,1,automated underwriting,ai_applications,exact_key,9,0.588878,0.588878,,,
ai-centric,ai-centric,76,1,AI adoption,ai_activity,exact_key,13,0.588622,0.588622,,,
mqa,mqa,218,1,GPT,gen_ai,exact_key,2,0.588614,0.588614,,,
agxpress,agxpress,19,1,automated underwriting,ai_applications,exact_key,10,0.588348,0.588348,,,
ai-oriented,ai-oriented,32,1,AI adoption,ai_activity,exact_key,14,0.588322,0.588322,,,
stockland,stockland,626,1,GPT,gen_ai,exact_key,3,0.583282,0.583282,,,
velogica,velogica,25,1,automated underwriting,ai_applications,exact_key,12,0.583052,0.583052,,,
scoring,scoring,10929,1,automated underwriting,ai_applications,exact_key,13,0.582730,0.582730,,,
jni,jni,38,1,AI adoption,ai_activity,exact_key,23,0.581908,0.581908,,,
aigc-related,aigc-related,10,1,AI adoption,ai_activity,exact_key,24,0.581563,0.581563,,,
iof,iof,514,1,GPT,gen_ai,exact_key,4,0.580914,0.580914,,,
third-platform,third-platform,19,1,AI adoption,ai_activity,exact_key,25,0.580174,0.580174,,,
oran vran,oran_vran,16,1,AI investments,ai_activity,exact_key,7,0.578172,0.578172,,,
homequote explorer,homequote_explorer,46,1,automated underwriting,ai_applications,exact_key,14,0.578159,0.578159,,,
cloud-led,cloud-led,51,1,AI adoption,ai_activity,exact_key,27,0.577818,0.577818,,,
generative ai-related,generative_ai-related,25,1,AI adoption,ai_activity,exact_key,29,0.576981,0.576981,,,
straight-through,straight-through,373,1,automated underwriting,ai_applications,exact_key,15,0.576574,0.576574,,,
penten,penten,8,1,GPT,gen_ai,exact_key,5,0.575259,0.575259,,,
all-wireless workplace,all-wireless_workplace,25,1,AI adoption,ai_activity,exact_key,32,0.573731,0.573731,,,
internet-of-things,internet-of-things,109,1,AI adoption,ai_activity,exact_key,34,0.572659,0.572659,,,
post-meaningful,post-meaningful,13,1,AI adoption,ai_activity,exact_key,35,0.571999,0.571999,,,
awof,awof,18,1,GPT,gen_ai,exact_key,6,0.571952,0.571952,,,
mirvac,mirvac,1810,1,GPT,gen_ai,exact_key,7,0.571482,0.571482,,,
charter hall,charter_hall,1229,1,GPT,gen_ai,exact_key,8,0.570692,0.570692,,,
writebiz,writebiz,91,1,automated underwriting,ai_applications,exact_key,16,0.570468,0.570468,,,
everything-as-a-service,everything-as-a-service,41,1,AI adoption,ai_activity,exact_key,37,0.569953,0.569953,,,
risk-scoring,risk-scoring,17,1,automated underwriting,ai_applications,exact_key,17,0.569545,0.569545,,,
serverless computing,serverless_computing,61,1,AI adoption,ai_activity,exact_key,38,0.569154,0.569154,,,
e-closing,e-closing,33,1,automated underwriting,ai_applications,exact_key,18,0.569088,0.569088,,,
claims adjudication,claims_adjudication,326,1,automated underwriting,ai_applications,exact_key,19,0.568693,0.568693,,,
acrt,acrt,10,1,GPT,gen_ai,exact_key,9,0.568485,0.568485,,,
cqo,cqo,40,1,GPT,gen_ai,exact_key,10,0.566692,0.566692,,,
fpga-as-a-service,fpga-as-a-service,7,1,AI adoption,ai_activity,exact_key,40,0.566506,0.566506,,,
nuix,nuix,713,1,GPT,gen_ai,exact_key,11,0.565516,0.565516,,,
consumerization,consumerization,1039,1,AI adoption,ai_activity,exact_key,42,0.564723,0.564723,,,
non-delegated,non-delegated,77,1,automated underwriting,ai_applications,exact_key,20,0.564361,0.564361,,,
mobile-cloud,mobile-cloud,7,1,AI adoption,ai_activity,exact_key,45,0.563579,0.563579,,,
fraud detection,fraud_detection,1666,1,automated underwriting,ai_applications,exact_key,21,0.563545,0.563545,,,
multi-cloud architectures,multi-cloud_architectures,51,1,AI adoption,ai_activity,exact_key,46,0.563419,0.563419,,,
ai-native,ai-native,39,1,AI adoption,ai_activity,exact_key,48,0.562393,0.562393,,,
termaccel,termaccel,15,1,automated underwriting,ai_applications,exact_key,22,0.560361,0.560361,,,
credit-decisioning,credit-decisioning,8,1,automated underwriting,ai_applications,exact_key,23,0.560182,0.560182,,,
investa,investa,233,1,GPT,gen_ai,exact_key,12,0.559973,0.559973,,,
fluidless,fluidless,6,1,automated underwriting,ai_applications,exact_key,24,0.559135,0.559135,,,
internalise,internalise,16,1,GPT,gen_ai,exact_key,13,0.559058,0.559058,,,
industria reit,industria_reit,9,1,GPT,gen_ai,exact_key,14,0.557849,0.557849,,,
scentre group,scentre_group,298,1,GPT,gen_ai,exact_key,15,0.555943,0.555943,,,
auirel,auirel,16,1,GPT,gen_ai,exact_key,16,0.555037,0.555037,,,
apn industria,apn_industria,14,1,GPT,gen_ai,exact_key,17,0.554145,0.554145,,,
credit-scoring,credit-scoring,27,1,automated underwriting,ai_applications,exact_key,25,0.553058,0.553058,,,
iress,iress,643,1,GPT,gen_ai,exact_key,18,0.552474,0.552474,,,
alex abell,alex_abell,17,1,GPT,gen_ai,exact_key,19,0.552033,0.552033,,,
mscore,mscore,9,1,automated underwriting,ai_applications,exact_key,26,0.551770,0.551770,,,
bizxpress,bizxpress,6,1,automated underwriting,ai_applications,exact_key,27,0.551671,0.551671,,,
internalised,internalised,12,1,GPT,gen_ai,exact_key,20,0.551267,0.551267,,,
account-opening,account-opening,45,1,automated underwriting,ai_applications,exact_key,28,0.550129,0.550129,,,
k1w1,k1w1,5,1,GPT,gen_ai,exact_key,21,0.548078,0.548078,,,
creditlens,creditlens,43,1,automated underwriting,ai_applications,exact_key,29,0.547146,0.547146,,,
selectplus,selectplus,13,1,automated underwriting,ai_applications,exact_key,30,0.546930,0.546930,,,
deep-cover,deep-cover,5,1,automated underwriting,ai_applications,exact_key,31,0.546590,0.546590,,,
bennelong,bennelong,8,1,GPT,gen_ai,exact_key,22,0.545675,0.545675,,,
